My Type,Saint Motel
APESHIT,THE CARTERS
Numb / Encore,JAY-Z & LINKIN PARK
The Story of O.J.,JAY-Z
Stronger,Kanye West
All Mine,Kanye West
Famous,Kanye West
Champions,"Kanye West, Gucci Mane, Big Sean, 2 Chainz, Travis Scott, Yo Gotti, Quavo & Desiigner"
Ultralight Beam,Kanye West
Pt. 2,Kanye West
Freestyle 4,Kanye West
FML,Kanye West
Amazing (feat. Young Jeezy),Kanye West
Love Lockdown,Kanye West
Flashing Lights (feat. Dwele),Kanye West
Everything I Am (feat. DJ Premier),Kanye West
Fire,KIDS SEE GHOSTS
"Freeee (Ghost Town, Pt. 2) [feat. Ty Dolla $ign]",KIDS SEE GHOSTS
4th Dimension (feat. Louis Prima),KIDS SEE GHOSTS
One Dance (feat. Wizkid & Kyla),Drake
Look Alive (feat. Drake),BlocBoy JB
Passionfruit,Drake
FLIP THE SWITCH (feat. Drake),Quavo
God's Plan,Drake
Mob Ties,Drake
Nice For What,Drake
Blue Tint,Drake
In My Feelings,Drake
Free Smoke,Drake
No Long Talk (feat. Giggs),Drake
Madiba Riddim,Drake
Blem,Drake
4422 (feat. Sampha),Drake
Gyalchester,Drake
Portland (feat. Quavo & Travis Scott),Drake
Skepta Interlude,Drake
KMT (feat. Giggs),Drake
Fake Love,Drake
Ice Melts (feat. Young Thug),Drake
Weston Road Flows,Drake
Hype,Drake
Faithful (feat. Pimp C & dvsn),Drake
Controlla,Drake
Sold Out Dates (feat. Lil Baby),Gunna
"Shook Ones, Pt. II",Mobb Deep
ZEZE (feat. Travis Scott & Offset),Kodak Black
OMG (feat. Quavo),Camila Cabello
One Kiss,"Calvin Harris, Dua Lipa"
Oh My,Dappy & Ay Em
King's Dead,"Jay Rock, Kendrick Lamar, Future, James Blake"
Relationship (feat. Future),Young Thug
If You Want It (feat. Scar),Sleepy Brown
No Shame (feat. PARTYNEXTDOOR),Future
2 Vaults (feat. Lil Yachty),Tee Grizzley
From the D to the A (feat. Lil Yachty),Tee Grizzley
Beef (feat. Meek Mill),Tee Grizzley
We the Ones,"Quality Control, Takeoff & Tee Grizzley"
Get You Good,Roy Woods
Drama (feat. Drake),Roy Woods
Down Girl,Roy Woods
Instinct (feat. MadeinTYO),Roy Woods
Involved,Roy Woods
Little Bit of Lovin,Roy Woods
Easy Way,K. Forest
Dreams,Beck
Free Mason (feat. Jay-Z),Rick Ross
The Devil Is a Lie (feat. JAY Z),Rick Ross
Freestyle,Lil Baby
Jah Is so Good,Alaine
Gyal Gimme That (feat. Sho Shallow),Jaystarmusician
Giv No Fuks (feat. Migos),Jeremih
Impatient (feat. Ty Dolla $ign),Jeremih
I Did (feat. Feather),Jeremih
Uproar (feat. Swizz Beatz),Lil Wayne
Lord Knows (feat. Rick Ross),Drake
Nonstop,Drake
Oh Okay (feat. Young Thug & Lil Baby),Gunna
No Stylist (feat. Drake),French Montana
Ghostface Killers (feat. Travis Scott),"21 Savage, Offset & Metro Boomin"
Rap Saved Me (feat. Quavo),"21 Savage, Offset & Metro Boomin"
Ric Flair Drip,Offset & Metro Boomin
My Choppa Hate N****s,21 Savage & Metro Boomin
beibs in the trap,Travis Scott
coordinate,Travis Scott
sweet sweet,Travis Scott
outside,Travis Scott
goosebumps,Travis Scott
pick up the phone,Travis Scott & Young Thug
wonderful,Travis Scott
Call Out My Name,The Weeknd
The Hills,The Weeknd
Starboy (feat. Daft Punk),The Weeknd
I Feel It Coming (feat. Daft Punk),The Weeknd
Reminder,The Weeknd
Low Life (feat. The Weeknd),Future
Can't Feel My Face,The Weeknd
Party Monster,The Weeknd
All The Stars,"Kendrick Lamar, SZA"
Opps,"Vince Staples, Yugen Blakrok"
Pray For Me,"The Weeknd, Kendrick Lamar"
Paramedic!,SOB X RBE
Die For You,The Weeknd
Often,The Weeknd
Selfish,Virginia To Vegas
Lights Out,Virginia To Vegas
Take You There,Sean Kingston
What's Luv? (feat. Ja-Rule & Ashanti),Fat Joe
By Chance,Rae Sremmurd
BUTTERFLY EFFECT,Travis Scott
YOSEMITE,Travis Scott
John (feat. Rick Ross),Lil Wayne
Millidelphia (feat. Swizz Beatz),Meek Mill
1am,Meek Mill
Stay Woke (feat. Miguel),Meek Mill
T-Shirt,Migos
Call Casting,Migos
Slippery (feat. Gucci Mane),Migos
Kelly Price,Migos
What the Price,Migos
Get Right Witcha,Migos
Pop Sh*t,Quality Control & Migos
Ice Tray,"Quality Control, Quavo & Lil Yachty"
What It Do,Quality Control & Migos
Bosses Don't Speak,Quality Control & Migos
Movin’ Up,"Quality Control, Lil Yachty & Ty Dolla $ign"
Say Less,Roy Woods
Reverse,K. Forest
Link,K. Forest
Playa Playa,K. Forest
Blue Moon,K. Forest
Guidance (feat. Baba Femi),K. Forest
The Wall,anders
How I Feel,Roy Woods
Gwan Big up Urself,Roy Woods
Hip Hopper (feat. Lil Yachty),Blac Youngsta
Get Off,ZO
Magnolia,Playboi Carti
THat Part (feat. Kanye West),ScHoolboy Q
Both (feat. Drake),Gucci Mane
Yes Indeed,Lil Baby & Drake
KOD,J. Cole
"1985 (Intro to ""The Fall Off"")",J. Cole
Litty (feat. Tory Lanez),Meek Mill
Leave Me Alone,Flipp Dinero
Powerglide (feat. Juicy J) [From SR3MM],"Rae Sremmurd, Swae Lee & Slim Jxmmi"
Mona Lisa (feat. Kendrick Lamar),Lil Wayne
Freak Hoe,Future
Where Ya At (feat. Drake),Future
Stick Talk,Future
Jump Around,House of Pain
Jumpman,Drake & Future
Made It from Nothing (feat. Teyana Taylor & Rick Ross),Meek Mill
MICKEY (feat. Offset & Lil Baby),Lil Yachty
"I'm the One (feat. Justin Bieber, Quavo, Chance the Rapper & Lil Wayne)",DJ Khaled
Don't Quit (feat. Travis Scott & Jeremih),DJ Khaled & Calvin Harris
Don't Stop Me Now,Queen
Infatuation,Takeoff
NBAYOUNGBOAT (feat. YoungBoy Never Broke Again),Lil Yachty
Snow White,Roy Woods
Immigrant Song,Led Zeppelin
Somebody to Love,Queen
3500 (feat. Future & 2 Chainz),Travis Scott
Antidote,Travis Scott
90210 (feat. Kacy Hill),Travis Scott
MÍA (feat. Drake),Bad Bunny
Who R U?,Anderson .Paak
Tints (feat. Kendrick Lamar),Anderson .Paak
6 Summers,Anderson .Paak
Carry On Wayward Son,Kansas
F.I.G.H.T.,"Mike WiLL Made-It, Eearz, Gucci Mane, YG, Trouble, Quavo & Juicy J"
Trip,Ella Mai
Boo'd Up,Ella Mai
Signs,Drake
I Can't Even Lie (feat. Future & Nicki Minaj),DJ Khaled
A Lie (feat. The Weeknd & Max B),French Montana
Unforgettable (feat. Swae Lee),French Montana
Big Rings,Drake & Future
6 Man,Drake
Energy,Drake
10 Bands,Drake
6 God,Drake
Used To (feat. Lil Wayne),Drake
Chiraq,Meek Mill
No Smoke,YoungBoy Never Broke Again
Business Is Business,Lil Baby & Gunna
Belly,Lil Baby & Gunna
Traumatized,Meek Mill
On the Regular,Meek Mill
"Or Nah (feat. The Weeknd, Wiz Khalifa and DJ Mustard) [Remix]",Ty Dolla $ign
Back To Back,Drake
What's Free (feat. Rick Ross & JAY-Z),Meek Mill
Going Bad (feat. Drake),Meek Mill
"Splash Warning (feat. Future, Roddy Ricch and Young Thug)",Meek Mill
Respect the Game,Meek Mill
24/7 (feat. Ella Mai),Meek Mill
Dangerous (feat. Jeremih and PnB Rock),Meek Mill
Cold Hearted II,Meek Mill
Deadz (feat. 2 Chainz),Migos
